camera,age,ram,cpu_score,slot_sd,sims,price
110,2,2,60,1,2,44046
187,0,2,75,1,1,29839
100,2,2,51,0,2,35216
22,2,4,66,0,1,60953
114,2,8,79,1,1,26945
79,2,12,41,0,1,68593
196,3,6,93,1,1,14539
28,0,16,52,0,1,57522
110,3,6,92,1,2,41625
129,3,16,71,1,1,12886
82,2,4,70,1,1,53713
95,1,2,55,1,2,15485
124,1,4,71,0,2,39455
107,3,8,71,0,2,54448
111,3,8,99,1,1,24767
159,2,16,73,1,1,55165
138,3,12,50,0,1,36453
157,2,12,49,0,2,18744
60,1,16,54,0,1,45102
9,1,8,56,0,2,61442
95,0,8,79,0,1,59877
165,1,8,57,0,2,20226
45,3,4,94,1,1,35869
137,1,8,48,0,1,30588
199,2,6,64,0,1,21440
195,1,2,79,1,2,39709
28,0,8,98,0,2,55788
168,1,16,53,0,1,30495
65,2,2,99,0,1,45019
29,2,4,97,0,1,52948
96,3,16,64,0,2,56908
56,1,2,89,1,1,8922
66,2,16,61,0,1,60067
177,0,4,91,1,1,35526
195,3,6,69,1,1,15957
22,0,4,59,0,2,60198
197,1,4,60,1,2,56564
197,1,16,83,0,1,66318
182,1,12,71,1,1,41998
197,3,8,90,1,2,51395
58,2,8,85,0,2,32031
115,3,6,88,0,1,18006
62,0,6,95,0,2,68278
71,3,8,60,0,2,45701
138,0,12,74,0,1,55063
58,3,8,97,1,2,33939
142,2,12,71,1,2,57145
28,0,6,69,1,1,28324
80,1,2,94,1,1,30867
174,1,16,78,1,2,8203
25,3,6,88,1,1,24544
139,1,6,51,1,2,23899
96,0,4,80,0,1,37063
67,1,4,86,0,2,33344
21,2,4,57,1,1,11748
16,2,16,60,1,2,47486
97,3,4,52,0,2,59733
60,0,12,60,0,2,9093
137,2,8,47,0,1,23228
91,2,2,85,0,1,28884
99,0,6,79,1,2,33183
118,1,12,85,0,2,24034
195,1,2,46,1,1,13710
179,3,12,62,1,1,50500
15,1,12,83,1,1,27259
182,0,6,71,0,1,43959
42,2,8,50,0,1,58989
88,1,4,61,1,1,41457
171,3,16,61,1,2,28143
57,1,8,82,1,1,68293
111,0,16,64,0,2,10103
139,3,6,61,1,1,8365
9,1,6,67,0,1,54778
141,3,6,68,1,2,52535
61,0,2,52,1,2,24103
113,2,16,57,1,1,40510
11,0,8,41,0,2,32476
61,0,8,68,0,2,20742
198,0,12,60,1,2,20391
153,0,12,54,0,2,44940
51,2,12,91,1,1,36901
169,2,6,66,0,2,63185
197,3,8,89,0,1,40001
21,1,16,70,0,1,23623
102,2,6,54,1,1,10378
55,2,2,90,0,1,58357
22,1,12,62,0,2,29372
197,2,6,63,1,2,52799
47,0,6,83,1,1,46437
89,0,2,52,1,1,43503
118,1,4,61,1,1,38746
60,3,8,82,0,1,35923
31,3,16,76,0,2,17867
161,1,4,100,0,1,49258
195,1,12,72,0,2,41724
131,0,6,95,0,1,17306
48,3,2,42,1,1,47391
164,2,2,93,0,1,22908
22,0,8,58,0,1,35081
52,1,4,62,0,2,58626
72,3,8,68,1,2,45228
96,2,6,69,1,2,31386
78,2,8,78,0,1,54754
16,0,16,83,1,1,53406
95,3,2,86,1,2,36302
136,3,2,64,1,2,68815
143,1,12,76,1,1,63548
70,3,12,86,1,1,27212
146,3,6,47,1,2,43618
88,0,16,81,1,1,54067
143,3,4,97,0,1,18698
170,2,8,55,0,2,69114
170,0,6,47,1,1,60116
40,0,12,40,0,2,12594
130,1,8,83,0,1,33525
12,3,12,44,1,2,22282
48,1,8,42,0,1,57053
35,2,4,40,1,2,22334
142,0,6,43,1,2,37179
79,0,8,79,1,2,14644
19,0,16,74,0,2,43618
169,2,2,71,0,1,55701
40,2,16,81,0,1,40933
55,1,16,73,0,2,68830
158,1,2,82,1,1,51469
69,1,16,64,1,1,41687
44,3,8,49,0,1,49073
106,0,8,60,1,1,60656
179,0,8,85,1,1,25375
111,1,2,78,0,2,56483
42,0,16,66,1,2,63199
200,1,2,66,0,2,38926
108,3,8,41,1,2,44607
182,3,16,80,0,1,25642
138,2,16,87,1,1,31993
8,3,12,52,1,2,52386
